ma_anh,ma_san_pham,thu_tu_anh,ten_file,duong_dan_anh,url_san_pham,url_anh,nguon_phat_hien,la_anh_gallery,http_status,mime_type,kich_thuoc_byte,sha256,trang_thai_tai,la_anh_trung,duong_dan_file_goc,ghi_chu
anh_000227,san_pham_0052,3,anh_003_9f7144d9.jpg,data\du_lieu_logo\anh_goc\san_pham_0052\anh_003_9f7144d9.jpg,https://hathyo.com/product/194,https://d134sx875xrex2.cloudfront.net/9zNdQX5eDH_z7862270872306_0c69c80ceefc75e5558c9c5b697b9961.jpg,meta:og:image,1,200,image/jpeg,252548,9f7144d974aa6404c1875b593a0739586aea8d88696f084f7377ebf21dfca28a,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0052\anh_003_9f7144d9.jpg,dau_hieu_gallery=gallery|image
anh_000228,san_pham_0052,4,anh_004_b2682b15.jpg,data\du_lieu_logo\anh_goc\san_pham_0052\anh_004_b2682b15.jpg,https://hathyo.com/product/194,https://d134sx875xrex2.cloudfront.net/QFdoXiDRfH_z7862270814700_26196b6ef4fa9bb0dc3a32b23683495e.jpg,meta:og:image,1,200,image/jpeg,171635,b2682b15486cb152c75ae8a0dd761fad0c65600fae24d3348965771fa9a805f5,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0052\anh_004_b2682b15.jpg,dau_hieu_gallery=gallery|image
anh_000229,san_pham_0052,5,anh_005_561258fa.jpg,data\du_lieu_logo\anh_goc\san_pham_0052\anh_005_561258fa.jpg,https://hathyo.com/product/194,https://d134sx875xrex2.cloudfront.net/kKdFMVSiA0_z7862270881684_1a6cf8ff00072488e18e198cf664e526.jpg,meta:og:image,1,200,image/jpeg,312627,561258fafbcbab44976facf1db828477431b362efee5ce28c5435a1214a07c69,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0052\anh_005_561258fa.jpg,dau_hieu_gallery=gallery|image
anh_000230,san_pham_0052,6,anh_006_aeb09e9f.jpg,data\du_lieu_logo\anh_goc\san_pham_0052\anh_006_aeb09e9f.jpg,https://hathyo.com/product/194,https://d134sx875xrex2.cloudfront.net/oAvZzlrHaO_z7862296159631_795538f06a5f87b29de0aafa4de00b7a.jpg,meta:og:image,1,200,image/jpeg,616625,aeb09e9f6c330efca84783a8e5de9b43f475b5e151bcc0fe996c6fd9b773023e,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0052\anh_006_aeb09e9f.jpg,dau_hieu_gallery=gallery|image
anh_000231,san_pham_0053,1,anh_001_741db9a7.jpg,data\du_lieu_logo\anh_goc\san_pham_0053\anh_001_741db9a7.jpg,https://hathyo.com/product/195,https://d134sx875xrex2.cloudfront.net/dmsLAKBG3i_z7862280693477_55ff96eca4ca60e29943128c9ad84ed3.jpg,meta:og:image,1,200,image/jpeg,1208980,741db9a7b8c2bc9b9ba9251e1d6275bc7f58d01ee1bbcef87eec0ea121600053,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0053\anh_001_741db9a7.jpg,dau_hieu_gallery=gallery|image
anh_000232,san_pham_0053,2,anh_002_2a243edc.jpg,data\du_lieu_logo\anh_goc\san_pham_0053\anh_002_2a243edc.jpg,https://hathyo.com/product/195,https://d134sx875xrex2.cloudfront.net/gbYSeHT6XT_z7862280711166_8f5f787c28ca60838ccd413081dbc997.jpg,meta:og:image,1,200,image/jpeg,1294039,2a243edc0b6b194d1a21cc1e937484b9b82e0d5febd27b798ba541d263a9b92e,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0053\anh_002_2a243edc.jpg,dau_hieu_gallery=gallery|image
anh_000233,san_pham_0054,1,anh_001_b2533d6f.jpg,data\du_lieu_logo\anh_goc\san_pham_0054\anh_001_b2533d6f.jpg,https://hathyo.com/product/196,https://d134sx875xrex2.cloudfront.net/4jsaOoO9MO_z7862280686839_a3402fcd3429092fdde25e8c88d73abb.jpg,meta:og:image,1,200,image/jpeg,1046327,b2533d6fe1ffa45cdfff32d7b610016ddbfbea3c873a6ee2de7e590766a26236,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0054\anh_001_b2533d6f.jpg,dau_hieu_gallery=gallery|image
anh_000234,san_pham_0055,1,anh_001_8702fa96.jpg,data\du_lieu_logo\anh_goc\san_pham_0055\anh_001_8702fa96.jpg,https://hathyo.com/product/197,https://d134sx875xrex2.cloudfront.net/41D4H2v8Fq_z7862280702153_a790a7e9fb112214b34fa30110730424.jpg,meta:og:image,1,200,image/jpeg,1117801,8702fa96d64dceaab8f85a46ece371ab53a1cadce40d665d3f205160dcc5dd92,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0055\anh_001_8702fa96.jpg,dau_hieu_gallery=gallery|image
anh_000235,san_pham_0056,1,anh_001_ccc37b31.jpg,data\du_lieu_logo\anh_goc\san_pham_0056\anh_001_ccc37b31.jpg,https://hathyo.com/product/210,https://d134sx875xrex2.cloudfront.net/Pce9JoOf4J_z7877758769615_30f9aa79281401b564f7d2cfb590eb46.jpg,meta:og:image,1,200,image/jpeg,252646,ccc37b318ff04358ab5cfc326a8caedf370e65bdcaa5cc06cb71476af911f076,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0056\anh_001_ccc37b31.jpg,dau_hieu_gallery=gallery|image
anh_000236,san_pham_0056,2,anh_002_aba5d904.jpg,data\du_lieu_logo\anh_goc\san_pham_0056\anh_002_aba5d904.jpg,https://hathyo.com/product/210,https://d134sx875xrex2.cloudfront.net/YpSf6fGNZ8_z7877758777477_4cab0a660a0cd1e31fd8a86273b1baeb.jpg,meta:og:image,1,200,image/jpeg,465992,aba5d904bc9fb224d80c45f1a91e8fae8dfb065fcff2e02ff78dbd95b143b3d0,da_tai,0,data\du_lieu_logo\anh_goc\san_pham_0056\anh_002_aba5d904.jpg,dau_hieu_gallery=gallery|image
